章节	全名	省称	位置	句法框架类型	匹配模式	上下文
055_留侯世家	张良	良	211	主语位	良与	斤。&秦&皇帝东游，良与客狙击&秦&皇帝博
055_留侯世家	张良	良	259	主语位	良乃	急，为@张良@故也。良乃更名姓，亡匿下邳。
055_留侯世家	张良	良	678	主语位	良亦	十年%，陈涉等起兵，良亦聚少年百馀人。景驹
055_留侯世家	张良	良	784	主语位	良曰	良为他人者，皆不省。良曰：“=沛=公殆天授
055_留侯世家	张良	良	843	主语位	良乃	=立=楚=怀$王$。良乃说项=梁=曰：“君
055_留侯世家	张良	良	974	主语位	良引	从=雒阳=南出轘辕，良引兵从=沛=公，下=
055_留侯世家	张良	良	1156	主语位	良曰	=，=沛=公欲听之。良曰：“此独其将欲叛耳
055_留侯世家	张良	良	1296	主语位	良曰	出舍，=沛=公不听。良曰：“夫&秦&为无道
055_留侯世家	张良	良	1456	主语位	良曰	@张良@，欲与俱去。良曰：“臣为=韩=王送
055_留侯世家	张良	良	1508	主语位	良曰	，曰：“为将柰何？”良曰：“=沛=公诚欲倍
055_留侯世家	张良	良	1561	主语位	良曰	尽$王$，故听之。”良曰：“=沛=公自度能
055_留侯世家	张良	良	1603	主语位	良乃	不能也。今为柰何？”良乃固要@项伯@。@项
055_留侯世家	张良	良	1721	宾语位	赐良	=巴=蜀。汉$王$赐良*金*百溢，珠二斗，
055_留侯世家	张良	良	2583	主语位	良曰	曰：“於子房何如？”良曰：“谁为陛下画此计
055_留侯世家	张良	良	3418	主语位	良曰	自择=齐=三万户。”良曰：“始臣起下邳，与
